NO	sea-oriented	EN
CA	sea-oriented	EN
PH	sea-oriented	EN
JP	sea-oriented	EN
ID	sea-oriented	EN
GR	sea-oriented	EN
DK	sea-oriented	EN
NZ	sea-oriented	EN
GB	sea-oriented	EN
HR	sea-oriented	EN
VU	sea-oriented	EN
HK	sea-oriented	EN
EE	sea-oriented	EN
CW	sea-oriented	EN
IS	sea-oriented	EN
MT	sea-oriented	EN
BM	sea-oriented	EN
IT	sea-oriented	EN
HT	sea-oriented	EN
VI	sea-oriented	EN
JM	sea-oriented	EN
RU	sea-oriented	EN
AU	sea-oriented	EN
PA	sea-oriented	EN
KN	sea-oriented	EN
FJ	sea-oriented	EN
TR	sea-oriented	EN
MY	sea-oriented	EN
KR	sea-oriented	EN
CL	sea-oriented	EN
SG	sea-oriented	EN
ES	sea-oriented	EN
CY	sea-oriented	EN
MX	sea-oriented	EN
US	sea-oriented	EN
JE	sea-oriented	EN
MG	sea-oriented	EN
VN	sea-oriented	EN
PT	sea-oriented	EN
DO	sea-oriented	EN
BH	sea-oriented	EN
CR	sea-oriented	EN
IE	sea-oriented	EN
GU	sea-oriented	EN
PR	sea-oriented	EN
LK	sea-oriented	EN
QA	sea-oriented	EN
TT	sea-oriented	EN
SE	sea-oriented	EN
CN	sea-oriented	EN
GI	sea-oriented	EN
BB	sea-oriented	EN
FR	sea-oriented	EN
AE	sea-oriented	EN
TH	sea-oriented	EN
EC	sea-oriented	EN
IN	sea-oriented	EN
DE	sea-oriented	EN
MU	sea-oriented	EN
OM	sea-oriented	EN
KW	sea-oriented	EN
UA	sea-oriented	EN
CO	sea-oriented	EN
AR	sea-oriented	EN
VE	sea-oriented	EN
TN	sea-oriented	EN
MZ	sea-oriented	EN
MA	sea-oriented	EN
NI	sea-oriented	EN
BR	sea-oriented	EN
BZ	sea-oriented	EN
ZA	sea-oriented	EN
ME	sea-oriented	EN
HN	sea-oriented	EN
EG	sea-oriented	EN
NL	sea-oriented	EN
MM	sea-oriented	EN
FI	sea-oriented	EN
LB	sea-oriented	EN
BN	sea-oriented	EN
AL	sea-oriented	EN
PE	sea-oriented	EN
SV	sea-oriented	EN
LV	sea-oriented	EN
IR	sea-oriented	EN
IL	sea-oriented	EN
SA	sea-oriented	EN
NA	continental-oriented	EN
BD	continental-oriented	EN
UY	continental-oriented	EN
TZ	continental-oriented	EN
AO	continental-oriented	EN
GT	continental-oriented	EN
PK	continental-oriented	EN
GE	continental-oriented	EN
GH	continental-oriented	EN
BG	continental-oriented	EN
KH	continental-oriented	EN
CI	continental-oriented	EN
NG	continental-oriented	EN
PL	continental-oriented	EN
KE	continental-oriented	EN
DZ	continental-oriented	EN
SD	continental-oriented	EN
CM	continental-oriented	EN
PS	continental-oriented	EN
RO	continental-oriented	EN
BE	continental-oriented	EN
LT	continental-oriented	EN
SI	continental-oriented	EN
CG	continental-oriented	EN
TG	continental-oriented	EN
BA	continental-oriented	EN
