AU	Australia and New Zealand	Oceania
NZ	Australia and New Zealand	Oceania
KG	Central Asia	Asia
KZ	Central Asia	Asia
TJ	Central Asia	Asia
UZ	Central Asia	Asia
CN	Eastern Asia	Asia
HK	Eastern Asia	Asia
JP	Eastern Asia	Asia
KR	Eastern Asia	Asia
MN	Eastern Asia	Asia
BG	Eastern Europe	Europe
BY	Eastern Europe	Europe
CZ	Eastern Europe	Europe
HU	Eastern Europe	Europe
MD	Eastern Europe	Europe
PL	Eastern Europe	Europe
RO	Eastern Europe	Europe
RU	Eastern Europe	Europe
SK	Eastern Europe	Europe
UA	Eastern Europe	Europe
AR	Latin America and the Caribbean	Americas
BB	Latin America and the Caribbean	Americas
BO	Latin America and the Caribbean	Americas
BQ	Latin America and the Caribbean	Americas
BR	Latin America and the Caribbean	Americas
BZ	Latin America and the Caribbean	Americas
CL	Latin America and the Caribbean	Americas
CO	Latin America and the Caribbean	Americas
CR	Latin America and the Caribbean	Americas
CW	Latin America and the Caribbean	Americas
DO	Latin America and the Caribbean	Americas
EC	Latin America and the Caribbean	Americas
GT	Latin America and the Caribbean	Americas
HN	Latin America and the Caribbean	Americas
HT	Latin America and the Caribbean	Americas
JM	Latin America and the Caribbean	Americas
KN	Latin America and the Caribbean	Americas
MX	Latin America and the Caribbean	Americas
NI	Latin America and the Caribbean	Americas
PA	Latin America and the Caribbean	Americas
PE	Latin America and the Caribbean	Americas
PR	Latin America and the Caribbean	Americas
PY	Latin America and the Caribbean	Americas
SV	Latin America and the Caribbean	Americas
TT	Latin America and the Caribbean	Americas
UY	Latin America and the Caribbean	Americas
VE	Latin America and the Caribbean	Americas
VI	Latin America and the Caribbean	Americas
FJ	Melanesia	Oceania
VU	Melanesia	Oceania
GU	Micronesia	Oceania
DZ	Northern Africa	Africa
EG	Northern Africa	Africa
MA	Northern Africa	Africa
SD	Northern Africa	Africa
TN	Northern Africa	Africa
BM	Northern America	Americas
CA	Northern America	Americas
US	Northern America	Americas
DK	Northern Europe	Europe
EE	Northern Europe	Europe
FI	Northern Europe	Europe
GB	Northern Europe	Europe
IE	Northern Europe	Europe
IS	Northern Europe	Europe
JE	Northern Europe	Europe
LT	Northern Europe	Europe
LV	Northern Europe	Europe
NO	Northern Europe	Europe
SE	Northern Europe	Europe
BN	South-eastern Asia	Asia
ID	South-eastern Asia	Asia
KH	South-eastern Asia	Asia
LA	South-eastern Asia	Asia
MM	South-eastern Asia	Asia
MY	South-eastern Asia	Asia
PH	South-eastern Asia	Asia
SG	South-eastern Asia	Asia
TH	South-eastern Asia	Asia
VN	South-eastern Asia	Asia
AF	Southern Asia	Asia
BD	Southern Asia	Asia
BT	Southern Asia	Asia
IN	Southern Asia	Asia
IR	Southern Asia	Asia
LK	Southern Asia	Asia
NP	Southern Asia	Asia
PK	Southern Asia	Asia
AL	Southern Europe	Europe
BA	Southern Europe	Europe
ES	Southern Europe	Europe
GI	Southern Europe	Europe
GR	Southern Europe	Europe
HR	Southern Europe	Europe
IT	Southern Europe	Europe
ME	Southern Europe	Europe
MK	Southern Europe	Europe
MT	Southern Europe	Europe
PT	Southern Europe	Europe
RS	Southern Europe	Europe
SI	Southern Europe	Europe
AO	Sub-Saharan Africa	Africa
BW	Sub-Saharan Africa	Africa
CD	Sub-Saharan Africa	Africa
CG	Sub-Saharan Africa	Africa
CI	Sub-Saharan Africa	Africa
CM	Sub-Saharan Africa	Africa
GH	Sub-Saharan Africa	Africa
KE	Sub-Saharan Africa	Africa
LS	Sub-Saharan Africa	Africa
MG	Sub-Saharan Africa	Africa
MU	Sub-Saharan Africa	Africa
MZ	Sub-Saharan Africa	Africa
NA	Sub-Saharan Africa	Africa
NG	Sub-Saharan Africa	Africa
RW	Sub-Saharan Africa	Africa
TG	Sub-Saharan Africa	Africa
TZ	Sub-Saharan Africa	Africa
UG	Sub-Saharan Africa	Africa
ZA	Sub-Saharan Africa	Africa
ZW	Sub-Saharan Africa	Africa
AE	Western Asia	Asia
AM	Western Asia	Asia
AZ	Western Asia	Asia
BH	Western Asia	Asia
CY	Western Asia	Asia
GE	Western Asia	Asia
IL	Western Asia	Asia
IQ	Western Asia	Asia
JO	Western Asia	Asia
KW	Western Asia	Asia
LB	Western Asia	Asia
OM	Western Asia	Asia
PS	Western Asia	Asia
QA	Western Asia	Asia
SA	Western Asia	Asia
TR	Western Asia	Asia
AT	Western Europe	Europe
BE	Western Europe	Europe
CH	Western Europe	Europe
DE	Western Europe	Europe
FR	Western Europe	Europe
LI	Western Europe	Europe
LU	Western Europe	Europe
NL	Western Europe	Europe
